logP(o/w),logS,SlogP,GCUT_PEOE_1,h_logD,h_logP,GCUT_PEOE_0,PEOE_VSA+1,PEOE_RPC-,GCUT_SMR_1,PEOE_VSA+0,density,GCUT_SMR_0,GCUT_SLOGP_1,rsynth,a_ICM,BCUT_SLOGP_3,BCUT_SLOGP_1,BCUT_SMR_2,h_logS,h_log_pbo,SMR_VSA3,BCUT_PEOE_1,h_ema,PEOE_VSA_FPNEG,BCUT_SLOGP_0,BCUT_SMR_3,GCUT_SMR_2,SMR_VSA5,GCUT_PEOE_2,balabanJ,PEOE_VSA_POS,BCUT_PEOE_2,GCUT_SLOGP_0,chi1v_C,KierFlex,chi1_C,BCUT_SLOGP_2,KierA2,chi1v,VDistEq,GCUT_SMR_3,PEOE_VSA+3,BCUT_SMR_1,SlogP_VSA5,h_emd,a_IC,PEOE_VSA_NEG,GCUT_SLOGP_3,BCUT_PEOE_0,GCUT_SLOGP_2,h_emd_C,KierA3,PEOE_VSA_FPPOS,PEOE_VSA+2,BCUT_PEOE_3,BCUT_SMR_0,KierA1,PEOE_RPC+,opr_nrot,SMR_VSA1,PEOE_VSA-0,PEOE_VSA_FNEG,PEOE_VSA_FPOS,b_rotR,SlogP_VSA4,PEOE_PC-,chi0v,SlogP_VSA8,GCUT_PEOE_3,b_1rotR,opr_violation,vsa_acc,bpol,PEOE_VSA_FHYD,PEOE_VSA_FPOL,vsa_pol,Kier2,Kier3,SMR_VSA0,PEOE_VSA_PNEG,SMR,SlogP_VSA9,PEOE_PC+,Weight,petitjean,b_single,petitjeanSC,SMR_VSA7,weinerPath,SlogP_VSA0,h_mr,SlogP_VSA2,apol,vsa_hyd,chi0v_C,TPSA,vsa_other,SMR_VSA6,a_count,VAdjEq,weinerPol,zagreb,VDistMa,chi0_C,PEOE_VSA_HYD,PEOE_VSA_POL,PEOE_VSA-5,b_count,opr_brigid,a_nH,a_hyd,diameter,Q_VSA_POS,Q_VSA_HYD,chi1,b_rotN,SlogP_VSA3,mr,b_1rotN,chi0,a_nO,SlogP_VSA7,vdw_vol,vdw_area,Kier1,h_pKb,h_pavgQ,h_pstates,h_pstrain,VAdjMa,b_max1len,a_nC,b_double,SlogP_VSA1,lip_violation,PEOE_VSA+4,SMR_VSA2,PEOE_VSA_PPOS,b_ar,b_heavy,a_nN,a_aro,a_heavy,opr_nring,a_donacc,rings,lip_acc,a_acc,PEOE_VSA-3,radius,SMR_VSA4,ast_violation_ext,ast_violation,logPapp
4.743,-8.9262896,2.5476699,-0.36753029,5.2350574,5.2347112,-0.83912516,15.808495,0.095013782,-0.21893343,370.5697,0.80096388,-0.53557402,-0.31897238,0,1.4881462,2.7145169,-0.48684505,0.59597051,-7.401619,9.3322973,32.320816,-0.49977624,12.432638,0.15909654,-2.882278,3.0038259,0.15122849,202.65158,0.046404615,2.0422966,533.0307,0.45341608,-1.167057,13.608256,12.441095,14.742526,0.40234792,17.464907,18.548018,3.7826133,3.5115564,40.197308,-0.33116147,18.868406,27.913586,165.18422,157.20685,3.2236996,-2.7115493,0.024780791,13.612513,11.811868,0.11256586,28.758026,2.7505443,-2.4586413,36.329762,0.083704077,21,28.509541,33.825527,0.2277576,0.77224243,0.18867925,20.82876,-3.2801476,31.583675,113.21043,3.2817996,0.18867925,4,81.401527,76.620422,0.72833759,0.27166238,123.38132,21.922937,14.876033,143.17329,109.81441,19.40193,271.85153,3.2801476,712.93298,0.3888889,101,0.63636363,266.60812,9286,115.43898,19.903839,167.06511,119.10158,489.15906,25.739758,186.03999,77.697189,49.992279,111,0.24573661,80,254,11.138001,26.877586,502.72598,187.5116,81.401527,113,28,60,32,18,690.23761,690.23761,23.941376,10,18.439579,19.655594,10,37.990471,7,70.572739,814.58478,690.23761,45.38982,14,-0.003007597,1.0206779,0.001795725,6.7279205,3,38,6,34.677017,3,0,107.69694,77.697189,6,53,6,6,51,2,13,3,13,7,13.566921,11,0,5,3,-5.79
3.717,-7.8132601,2.0077701,-0.38185328,4.2498112,4.249465,-0.84201682,15.808495,0.092628509,-0.22227845,325.35275,0.8100583,-0.53540766,-0.36387005,0,1.5097798,2.7272413,-0.51666963,0.62425941,-6.9835553,9.3324823,32.320816,-0.52512324,12.450751,0.15786219,-2.8738637,3.0334816,0.16490763,221.51997,0.052761275,1.6994125,508.11328,0.50613815,-1.1665535,13.045307,10.834458,14.179578,0.46759626,15.911066,18.244427,3.7580242,3.5176997,40.197308,-0.34645662,18.868406,26.665581,160.03665,151.52428,3.2264254,-2.7067482,0.038227946,14.857837,9.6827774,0.11778769,49.057533,2.7789619,-2.4543409,34.046928,0.081587732,18,31.633854,33.825527,0.22970839,0.77029163,0.1509434,16.417963,-3.3652329,30.367752,132.07884,3.2868505,0.1509434,3,81.401527,73.567589,0.72435009,0.27564988,117.69875,20.0704,12.25532,143.17329,104.13183,18.73686,205.19952,3.3652329,696.89001,0.44444445,97,0.80000001,199.95609,8721,97.42823,19.279648,167.06511,114.67441,464.24164,24.576622,177.25,77.697189,68.431854,106,0.25318992,81,256,11.078074,25.714449,477.80856,181.82901,81.401527,109,32,56,31,18,659.63757,659.63757,23.636847,8,36.879158,19.016987,8,36.697578,7,70.572739,790.61218,659.63757,42.737629,14,-0.003007597,1.0206779,0.001795725,6.7279205,3,37,6,37.801331,2,0,85.275391,77.697189,6,53,6,6,50,3,12,4,13,7,13.566921,10,0,5,3,-7.05
4.9400001,-8.8203001,2.8898699,-0.36745596,5.7766399,5.7762947,-0.83912611,15.808495,0.092666239,-0.21689926,370.5697,0.79513532,-0.5357219,-0.31245816,0,1.4780469,2.7154424,-0.4728893,0.57713556,-7.8007283,9.3325148,32.320816,-0.48520017,12.455304,0.14493866,-2.8756375,3.0044885,0.14170554,202.65158,0.045584165,2.0831182,566.93018,0.44340777,-1.1670562,13.608256,12.670632,14.742526,0.39866349,17.66799,18.938362,3.7748463,3.5512736,40.197308,-0.32023764,51.765594,26.900154,168.49734,151.52428,3.2668803,-2.7220182,0.023516564,15.103414,11.548249,0.1081449,62.657486,2.751081,-2.4673555,37.291901,0.081635751,21,31.633854,33.825527,0.21090311,0.78909689,0.18518518,20.82876,-3.3632445,32.530888,113.21043,3.3217402,0.18518518,3,81.401527,80.126831,0.74691641,0.25308356,117.69875,22.0741,14.473063,143.17329,104.13183,19.86466,271.85153,3.3632445,726.95996,0.3888889,104,0.63636363,299.50531,9640,97.42823,20.358253,167.06511,122.19517,523.05853,26.739758,177.25,77.697189,49.992279,114,0.24202083,84,260,11.196231,27.877586,536.62543,181.82901,81.401527,116,28,62,33,18,718.45447,718.45447,24.368896,10,18.439579,20.110783,10,38.860714,7,70.572739,835.6615,718.45447,46.382717,14,-0.003007504,1.0206773,0.001795669,6.7548876,3,39,6,37.801331,2,0,89.686188,77.697189,6,54,6,6,52,2,12,3,13,7,13.566921,11,0,5,3,-6.11
4.9400001,-8.8203001,2.8898699,-0.36752352,5.7765503,5.7762046,-0.83918202,15.808495,0.092666239,-0.21767119,370.5697,0.79513532,-0.53578496,-0.31240979,0,1.4780469,2.716934,-0.4734318,0.57927448,-7.8006902,9.3325148,32.320816,-0.48761404,12.455299,0.14493866,-2.8762834,3.0051882,0.14410675,202.65158,0.045803845,2.080765,566.93018,0.44356149,-1.1662743,13.608256,12.670632,14.742526,0.39744279,17.66799,18.938362,3.7802708,3.5522981,40.197308,-0.32084051,51.765594,26.90049,168.49734,151.52428,3.2682331,-2.7229836,0.023665244,15.103083,11.548249,0.1081449,62.657486,2.7517164,-2.4682086,37.291901,0.081635967,21,31.633854,33.825527,0.21090311,0.78909689,0.18518518,20.82876,-3.3632445,32.530888,113.21043,3.3229065,0.18518518,3,81.401527,80.126831,0.74691641,0.25308356,117.69875,22.0741,14.473063,143.17329,104.13183,19.86466,271.85153,3.3632445,726.95996,0.3888889,104,0.63636363,299.50531,9650,97.42823,20.358253,167.06511,122.19517,523.05853,26.739758,177.25,77.697189,49.992279,114,0.24202083,84,260,11.195508,27.877586,536.62543,181.82901,81.401527,116,28,62,33,18,718.45447,718.45447,24.368896,10,18.439579,20.110783,10,38.860714,7,70.572739,835.6615,718.45447,46.382717,14,-0.003007597,1.0206779,0.001795725,6.7548876,3,39,6,37.801331,2,0,89.686188,77.697189,6,54,6,6,52,2,12,3,13,7,13.566921,11,0,5,3,-6.12
4.9400001,-8.8203001,2.8898699,-0.35880631,5.7787905,5.7784615,-0.84039122,15.808495,0.092676349,-0.21784224,370.5697,0.79513532,-0.53558439,-0.30390847,0,1.4780469,2.7158818,-0.47530657,0.58285028,-7.8014498,9.3325148,32.320816,-0.49007797,12.455561,0.14493866,-2.8792241,3.0085404,0.14680316,202.65158,0.043855675,2.0867555,566.93018,0.4415786,-1.1664981,13.608256,12.670632,14.742526,0.38937762,17.66799,18.938362,3.7744868,3.5506239,40.197308,-0.32114303,51.765594,26.891817,168.49734,151.52428,3.2650619,-2.7127059,0.02023541,15.116567,11.548249,0.1081449,62.657486,2.7548184,-2.4592972,37.291901,0.081529588,21,31.633854,33.825527,0.21090311,0.78909689,0.18518518,20.82876,-3.3633904,32.530888,113.21043,3.3205192,0.18518518,3,81.401527,80.126831,0.74691641,0.25308356,117.69875,22.0741,14.473063,143.17329,104.13183,19.86466,271.85153,3.3633904,726.95996,0.3888889,104,0.63636363,299.50531,9630,97.42823,20.358253,167.06511,122.19517,523.05853,26.739758,177.25,77.697189,49.992279,114,0.24202083,84,260,11.196175,27.877586,536.62543,181.82901,81.401527,116,28,62,33,18,718.45447,718.45447,24.368896,10,18.439579,20.110783,10,38.860714,7,70.572739,835.6615,718.45447,46.382717,14,-0.003000145,1.0206338,0.001791269,6.7548876,3,39,6,37.801331,2,0,89.686188,77.697189,6,54,6,6,52,2,12,3,13,7,13.566921,11,0,5,3,-5.89
5.1370001,-8.7143097,3.23207,-0.36744049,6.3165488,6.3162036,-0.83930945,15.808495,0.090432346,-0.21689363,370.5697,0.78959352,-0.53593266,-0.31043905,0,1.4683273,2.7189193,-0.46108758,0.56275046,-8.1990976,9.3327312,32.320816,-0.47653648,12.477889,0.13185085,-2.8699033,3.0061214,0.13765125,202.65158,0.042893041,2.1221468,600.82965,0.43189821,-1.1662313,13.608256,12.901175,14.742526,0.38675478,17.873632,19.328705,3.7726858,3.592653,40.197308,-0.30990374,84.662781,25.893,171.7943,145.84171,3.3121774,-2.7320607,0.019455239,16.589384,11.306778,0.10405808,96.556946,2.7524817,-2.4758353,38.25536,0.079667769,21,34.758167,33.825527,0.19532248,0.80467749,0.18181819,20.82876,-3.4463248,33.478104,113.21043,3.3634553,0.18181819,3,81.401527,83.633247,0.76409107,0.23590893,112.01617,22.23077,14.105903,143.17329,98.449257,20.327391,271.85153,3.4463248,740.987,0.3888889,107,0.63636363,332.4025,10009,79.41748,20.812668,167.06511,125.28875,556.95801,27.739758,168.46001,77.697189,49.992279,117,0.23842676,88,266,11.252588,28.877586,570.5249,176.14644,81.401527,119,28,64,34,18,746.67133,746.67133,24.796417,10,18.439579,20.56572,10,39.730957,7,70.572739,856.73828,746.67133,47.375866,14,-0.0030075,1.0206773,0.001795667,6.7813597,3,40,6,40.925644,2,0,71.675438,77.697189,6,55,6,6,53,2,11,3,13,7,13.566921,11,0,6,4,-6.02
5.1370001,-8.7143097,3.23207,-0.35864949,6.3203149,6.3199859,-0.84039426,15.808495,0.09044186,-0.21551289,370.5697,0.78959352,-0.53573561,-0.30360502,0,1.4683273,2.7166679,-0.45969206,0.56303149,-8.2005329,9.3327322,32.320816,-0.47545156,12.478225,0.13185085,-2.8723178,3.0091615,0.1377418,202.65158,0.042950295,2.1270418,600.82965,0.43199068,-1.1661499,13.608256,12.901175,14.742526,0.38641202,17.873632,19.328705,3.7666883,3.5887268,40.197308,-0.30974722,84.662781,25.878603,171.7943,145.84171,3.3064103,-2.7229962,0.019105632,16.607298,11.306778,0.10405808,96.556946,2.755326,-2.4679489,38.25536,0.07956364,21,34.758167,33.825527,0.19532248,0.80467749,0.18181819,20.82876,-3.4464877,33.478104,113.21043,3.3588836,0.18181819,3,81.401527,83.633247,0.76409107,0.23590893,112.01617,22.23077,14.105903,143.17329,98.449257,20.327391,271.85153,3.4464877,740.987,0.3888889,107,0.63636363,332.4025,9992,79.41748,20.812668,167.06511,125.28875,556.95801,27.739758,168.46001,77.697189,49.992279,117,0.23842676,88,266,11.253344,28.877586,570.5249,176.14644,81.401527,119,28,64,34,18,746.67133,746.67133,24.796417,10,18.439579,20.56572,10,39.730957,7,70.572739,856.73828,746.67133,47.375866,14,-0.003000042,1.0206331,0.001791207,6.7813597,3,40,6,40.925644,2,0,71.675438,77.697189,6,55,6,6,53,2,11,3,13,7,13.566921,11,0,6,4,-5.82
5.1370001,-8.7143097,3.23207,-0.35862377,6.3202791,6.3199501,-0.84041947,15.808495,0.09044186,-0.21588673,370.5697,0.78959352,-0.53579479,-0.30353358,0,1.4683273,2.717972,-0.46152717,0.56364185,-8.2005186,9.3327322,32.320816,-0.47597057,12.478223,0.13185085,-2.8725975,3.0096843,0.13838093,202.65158,0.043488272,2.1239085,600.82965,0.43242347,-1.166155,13.608256,12.901175,14.742526,0.38646603,17.873632,19.328705,3.772558,3.58883,40.197308,-0.31010997,84.662781,25.878738,171.7943,145.84171,3.3066728,-2.7236719,0.019108133,16.607124,11.306778,0.10405808,96.556946,2.7558115,-2.4686189,38.25536,0.07956364,21,34.758167,33.825527,0.19532248,0.80467749,0.18181819,20.82876,-3.4464877,33.478104,113.21043,3.3591197,0.18181819,3,81.401527,83.633247,0.76409107,0.23590893,112.01617,22.23077,14.105903,143.17329,98.449257,20.327391,271.85153,3.4464877,740.987,0.3888889,107,0.63636363,332.4025,10005,79.41748,20.812668,167.06511,125.28875,556.95801,27.739758,168.46001,77.697189,49.992279,117,0.23842676,88,266,11.252579,28.877586,570.5249,176.14644,81.401527,119,28,64,34,18,746.67133,746.67133,24.796417,10,18.439579,20.56572,10,39.730957,7,70.572739,856.73828,746.67133,47.375866,14,-0.003000146,1.0206338,0.00179127,6.7813597,3,40,6,40.925644,2,0,71.675438,77.697189,6,55,6,6,53,2,11,3,13,7,13.566921,11,0,6,4,-5.88
5.3340001,-8.6083202,3.57427,-0.3578617,6.8602195,6.8598905,-0.84046239,15.808495,0.088313013,-0.20838208,370.5697,0.78431785,-0.53594488,-0.30237678,0,1.4589664,2.7197008,-0.43912184,0.54008973,-8.5989008,9.3329477,32.320816,-0.45936254,12.500811,0.1197162,-2.8658757,3.0105252,0.1279964,202.65158,0.041448314,2.1647811,634.72913,0.41852248,-1.1650271,13.608256,13.132648,14.742526,0.38036171,18.081635,19.719049,3.7649143,3.627713,40.197308,-0.29497853,117.55997,24.871464,175.07597,140.15913,3.3489587,-2.7327073,0.018272303,18.093258,11.103734,0.10026889,130.45641,2.7565064,-2.4762423,39.22007,0.077219523,21,37.882481,33.825527,0.18087657,0.81912345,0.17857143,20.82876,-3.5295677,34.425316,113.21043,3.3982344,0.17857143,3,81.401527,87.139664,0.78001493,0.2199851,106.3336,22.3925,13.7904,143.17329,92.766678,20.790119,271.85153,3.5295677,755.01398,0.3888889,110,0.63636363,365.29968,10372,61.406727,21.267082,167.06511,128.38234,590.85742,28.739758,159.67,77.697189,49.992279,120,0.23494832,92,272,11.308639,29.877586,604.42438,170.46387,81.401527,122,28,66,35,18,774.88824,774.88824,25.223938,10,18.439579,21.020418,10,40.6012,7,70.572739,877.815,774.88824,48.369259,14,-0.003000036,1.0206331,0.001791204,6.8073549,3,41,6,44.049957,2,0,53.664684,77.697189,6,56,6,6,54,2,10,3,13,7,13.566921,11,0,5,3,-6.24
5.1370001,-8.7143097,3.23207,-0.36713699,6.3176355,6.3172956,-0.83934492,15.808495,0.090432316,-0.2155181,370.5697,0.78959352,-0.53576458,-0.31146187,0,1.4683273,2.7165568,-0.46030846,0.56363153,-8.1995106,9.3327312,32.320816,-0.47525889,12.477974,0.13185085,-2.8708169,3.0057549,0.13711824,202.65158,0.043242972,2.1273618,600.82965,0.43304425,-1.1662594,13.608256,12.901175,14.742526,0.38707954,17.873632,19.328705,3.7667177,3.591105,40.197308,-0.31028131,84.662781,25.888859,171.7943,145.84171,3.3097324,-2.7284334,0.019467426,16.595089,11.306778,0.10405808,96.556946,2.7521181,-2.4724531,38.25536,0.079567373,21,34.758167,33.825527,0.19532248,0.80467749,0.18181819,20.82876,-3.446326,33.478104,113.21043,3.3614657,0.18181819,3,81.401527,83.633247,0.76409107,0.23590893,112.01617,22.23077,14.105903,143.17329,98.449257,20.327391,271.85153,3.446326,740.987,0.3888889,107,0.63636363,332.4025,9990,79.41748,20.812668,167.06511,125.28875,556.95801,27.739758,168.46001,77.697189,49.992279,117,0.23842676,88,266,11.253336,28.877586,570.5249,176.14644,81.401527,119,28,64,34,18,746.67133,746.67133,24.796417,10,18.439579,20.56572,10,39.730957,7,70.572739,856.73828,746.67133,47.375866,14,-0.003004852,1.0206616,0.001794083,6.7813597,3,40,6,40.925644,2,0,71.675438,77.697189,6,55,6,6,53,2,11,3,13,7,13.566921,11,0,6,4,-5.42
4.1110001,-7.6012802,2.6921699,-0.38185328,5.3323307,5.3319907,-0.84206313,15.808495,0.088269666,-0.21605732,325.35275,0.79790026,-0.53565121,-0.34232894,0,1.4885569,2.7280087,-0.48645151,0.61580157,-7.7814198,9.3329163,32.320816,-0.51536518,12.496084,0.12954949,-2.8587956,3.0343101,0.15851116,221.51997,0.050025791,1.7685483,575.91223,0.49301279,-1.1651111,13.045307,11.304033,14.179578,0.45924678,16.351595,19.025116,3.7401924,3.5963774,40.197308,-0.33788794,84.662781,24.641073,166.71837,140.15913,3.3123169,-2.7269962,0.038064327,17.840263,9.3948851,0.10850481,116.85645,2.779654,-2.4710639,35.948158,0.07708399,18,37.882481,33.825527,0.19573347,0.80426651,0.14545454,16.417963,-3.5314114,32.26218,132.07884,3.3658078,0.14545454,3,81.401527,80.580421,0.76194572,0.23805431,106.3336,20.429419,11.774318,143.17329,92.766678,19.662319,205.19952,3.5314114,724.94397,0.44444445,103,0.80000001,265.75046,9397,61.406727,20.188477,167.06511,120.86158,532.04053,26.576622,159.67,77.697189,68.431854,112,0.24540348,89,268,11.196194,27.714449,545.60748,170.46387,81.401527,115,32,60,33,18,716.07135,716.07135,24.491886,8,36.879158,19.928228,8,38.438065,7,70.572739,832.76569,716.07135,44.711407,14,-0.003004849,1.0206616,0.001794082,6.7813597,3,39,6,44.049957,2,0,49.253891,77.697189,6,55,6,6,52,3,10,4,13,7,13.566921,10,0,4,2,-5.95
