apol,ast_violation,ast_violation_ext,a_acc,a_aro,a_heavy,a_hyd,a_nC,a_nN,a_nO,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,b_ar,b_double,b_heavy,b_max1len,chi0,chi0_C,chi1,chi1v,chi1v_C,chi1_C,diameter,GCUT_PEOE_2,GCUT_SMR_1,GCUT_SMR_2,h_ema,h_logS,h_log_pbo,h_mr,h_pstates,Kier1,Kier2,lip_acc,lip_violation,logP(o/w),logS,mr,opr_brigid,opr_nring,opr_violation,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+1,PEOE_VSA+3,PEOE_VSA-0,PEOE_VSA-3,PEOE_VSA-5,PEOE_VSA_FNEG,PEOE_VSA_FPOS,PEOE_VSA_NEG,petitjean,petitjeanSC,rings,rsynth,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SMR,SMR_VSA0,SMR_VSA5,SMR_VSA6,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_vol,vsa_acc,vsa_other,Weight,weinerPath,weinerPol,zagreb,logPapp
119.10158,3,5,7,6,51,32,38,6,7,2.0422966,-2.7115493,-0.49977624,0.45341608,-0.48684505,0.40234792,2.7145169,-2.4586413,-0.33116147,0.59597051,6,6,53,3,37.990471,26.877586,23.941376,18.548018,13.608256,14.742526,18,0.046404615,-0.21893343,0.15122849,12.432638,-7.401619,9.3322973,19.903839,1.0206779,45.38982,21.922937,13,3,4.743,-8.9262896,19.655594,28,2,4,3.2801476,-3.2801476,0.083704077,0.095013782,15.808495,40.197308,33.825527,13.566921,81.401527,0.2277576,0.77224243,157.20685,0.3888889,0.63636363,3,0,34.677017,167.06511,18.439579,20.82876,70.572739,19.40193,143.17329,202.65158,49.992279,0.24573661,6.7279205,3.7826133,11.138001,814.58478,81.401527,77.697189,712.93298,9286,80,254,-5.79
114.67441,3,5,7,6,50,31,37,6,7,1.6994125,-2.7067482,-0.52512324,0.50613815,-0.51666963,0.46759626,2.7272413,-2.4543409,-0.34645662,0.62425941,6,6,53,3,36.697578,25.714449,23.636847,18.244427,13.045307,14.179578,18,0.052761275,-0.22227845,0.16490763,12.450751,-6.9835553,9.3324823,19.279648,1.0206779,42.737629,20.0704,13,2,3.717,-7.8132601,19.016987,32,3,3,3.3652329,-3.3652329,0.081587732,0.092628509,15.808495,40.197308,33.825527,13.566921,81.401527,0.22970839,0.77029163,151.52428,0.44444445,0.80000001,4,0,37.801331,167.06511,36.879158,16.417963,70.572739,18.73686,143.17329,221.51997,68.431854,0.25318992,6.7279205,3.7580242,11.078074,790.61218,81.401527,77.697189,696.89001,8721,81,256,-7.05
122.19517,3,5,7,6,52,33,39,6,7,2.0831182,-2.7220182,-0.48520017,0.44340777,-0.4728893,0.39866349,2.7154424,-2.4673555,-0.32023764,0.57713556,6,6,54,3,38.860714,27.877586,24.368896,18.938362,13.608256,14.742526,18,0.045584165,-0.21689926,0.14170554,12.455304,-7.8007283,9.3325148,20.358253,1.0206773,46.382717,22.0741,13,2,4.9400001,-8.8203001,20.110783,28,2,3,3.3632445,-3.3632445,0.081635751,0.092666239,15.808495,40.197308,33.825527,13.566921,81.401527,0.21090311,0.78909689,151.52428,0.3888889,0.63636363,3,0,37.801331,167.06511,18.439579,20.82876,70.572739,19.86466,143.17329,202.65158,49.992279,0.24202083,6.7548876,3.7748463,11.196231,835.6615,81.401527,77.697189,726.95996,9640,84,260,-6.11
122.19517,3,5,7,6,52,33,39,6,7,2.080765,-2.7229836,-0.48761404,0.44356149,-0.4734318,0.39744279,2.716934,-2.4682086,-0.32084051,0.57927448,6,6,54,3,38.860714,27.877586,24.368896,18.938362,13.608256,14.742526,18,0.045803845,-0.21767119,0.14410675,12.455299,-7.8006902,9.3325148,20.358253,1.0206779,46.382717,22.0741,13,2,4.9400001,-8.8203001,20.110783,28,2,3,3.3632445,-3.3632445,0.081635967,0.092666239,15.808495,40.197308,33.825527,13.566921,81.401527,0.21090311,0.78909689,151.52428,0.3888889,0.63636363,3,0,37.801331,167.06511,18.439579,20.82876,70.572739,19.86466,143.17329,202.65158,49.992279,0.24202083,6.7548876,3.7802708,11.195508,835.6615,81.401527,77.697189,726.95996,9650,84,260,-6.12
122.19517,3,5,7,6,52,33,39,6,7,2.0867555,-2.7127059,-0.49007797,0.4415786,-0.47530657,0.38937762,2.7158818,-2.4592972,-0.32114303,0.58285028,6,6,54,3,38.860714,27.877586,24.368896,18.938362,13.608256,14.742526,18,0.043855675,-0.21784224,0.14680316,12.455561,-7.8014498,9.3325148,20.358253,1.0206338,46.382717,22.0741,13,2,4.9400001,-8.8203001,20.110783,28,2,3,3.3633904,-3.3633904,0.081529588,0.092676349,15.808495,40.197308,33.825527,13.566921,81.401527,0.21090311,0.78909689,151.52428,0.3888889,0.63636363,3,0,37.801331,167.06511,18.439579,20.82876,70.572739,19.86466,143.17329,202.65158,49.992279,0.24202083,6.7548876,3.7744868,11.196175,835.6615,81.401527,77.697189,726.95996,9630,84,260,-5.89
125.28875,4,6,7,6,53,34,40,6,7,2.1221468,-2.7320607,-0.47653648,0.43189821,-0.46108758,0.38675478,2.7189193,-2.4758353,-0.30990374,0.56275046,6,6,55,3,39.730957,28.877586,24.796417,19.328705,13.608256,14.742526,18,0.042893041,-0.21689363,0.13765125,12.477889,-8.1990976,9.3327312,20.812668,1.0206773,47.375866,22.23077,13,2,5.1370001,-8.7143097,20.56572,28,2,3,3.4463248,-3.4463248,0.079667769,0.090432346,15.808495,40.197308,33.825527,13.566921,81.401527,0.19532248,0.80467749,145.84171,0.3888889,0.63636363,3,0,40.925644,167.06511,18.439579,20.82876,70.572739,20.327391,143.17329,202.65158,49.992279,0.23842676,6.7813597,3.7726858,11.252588,856.73828,81.401527,77.697189,740.987,10009,88,266,-6.02
125.28875,4,6,7,6,53,34,40,6,7,2.1270418,-2.7229962,-0.47545156,0.43199068,-0.45969206,0.38641202,2.7166679,-2.4679489,-0.30974722,0.56303149,6,6,55,3,39.730957,28.877586,24.796417,19.328705,13.608256,14.742526,18,0.042950295,-0.21551289,0.1377418,12.478225,-8.2005329,9.3327322,20.812668,1.0206331,47.375866,22.23077,13,2,5.1370001,-8.7143097,20.56572,28,2,3,3.4464877,-3.4464877,0.07956364,0.09044186,15.808495,40.197308,33.825527,13.566921,81.401527,0.19532248,0.80467749,145.84171,0.3888889,0.63636363,3,0,40.925644,167.06511,18.439579,20.82876,70.572739,20.327391,143.17329,202.65158,49.992279,0.23842676,6.7813597,3.7666883,11.253344,856.73828,81.401527,77.697189,740.987,9992,88,266,-5.82
125.28875,4,6,7,6,53,34,40,6,7,2.1239085,-2.7236719,-0.47597057,0.43242347,-0.46152717,0.38646603,2.717972,-2.4686189,-0.31010997,0.56364185,6,6,55,3,39.730957,28.877586,24.796417,19.328705,13.608256,14.742526,18,0.043488272,-0.21588673,0.13838093,12.478223,-8.2005186,9.3327322,20.812668,1.0206338,47.375866,22.23077,13,2,5.1370001,-8.7143097,20.56572,28,2,3,3.4464877,-3.4464877,0.07956364,0.09044186,15.808495,40.197308,33.825527,13.566921,81.401527,0.19532248,0.80467749,145.84171,0.3888889,0.63636363,3,0,40.925644,167.06511,18.439579,20.82876,70.572739,20.327391,143.17329,202.65158,49.992279,0.23842676,6.7813597,3.772558,11.252579,856.73828,81.401527,77.697189,740.987,10005,88,266,-5.88
128.38234,3,5,7,6,54,35,41,6,7,2.1647811,-2.7327073,-0.45936254,0.41852248,-0.43912184,0.38036171,2.7197008,-2.4762423,-0.29497853,0.54008973,6,6,56,3,40.6012,29.877586,25.223938,19.719049,13.608256,14.742526,18,0.041448314,-0.20838208,0.1279964,12.500811,-8.5989008,9.3329477,21.267082,1.0206331,48.369259,22.3925,13,2,5.3340001,-8.6083202,21.020418,28,2,3,3.5295677,-3.5295677,0.077219523,0.088313013,15.808495,40.197308,33.825527,13.566921,81.401527,0.18087657,0.81912345,140.15913,0.3888889,0.63636363,3,0,44.049957,167.06511,18.439579,20.82876,70.572739,20.790119,143.17329,202.65158,49.992279,0.23494832,6.8073549,3.7649143,11.308639,877.815,81.401527,77.697189,755.01398,10372,92,272,-6.24
125.28875,4,6,7,6,53,34,40,6,7,2.1273618,-2.7284334,-0.47525889,0.43304425,-0.46030846,0.38707954,2.7165568,-2.4724531,-0.31028131,0.56363153,6,6,55,3,39.730957,28.877586,24.796417,19.328705,13.608256,14.742526,18,0.043242972,-0.2155181,0.13711824,12.477974,-8.1995106,9.3327312,20.812668,1.0206616,47.375866,22.23077,13,2,5.1370001,-8.7143097,20.56572,28,2,3,3.446326,-3.446326,0.079567373,0.090432316,15.808495,40.197308,33.825527,13.566921,81.401527,0.19532248,0.80467749,145.84171,0.3888889,0.63636363,3,0,40.925644,167.06511,18.439579,20.82876,70.572739,20.327391,143.17329,202.65158,49.992279,0.23842676,6.7813597,3.7667177,11.253336,856.73828,81.401527,77.697189,740.987,9990,88,266,-5.42
120.86158,2,4,7,6,52,33,39,6,7,1.7685483,-2.7269962,-0.51536518,0.49301279,-0.48645151,0.45924678,2.7280087,-2.4710639,-0.33788794,0.61580157,6,6,55,3,38.438065,27.714449,24.491886,19.025116,13.045307,14.179578,18,0.050025791,-0.21605732,0.15851116,12.496084,-7.7814198,9.3329163,20.188477,1.0206616,44.711407,20.429419,13,2,4.1110001,-7.6012802,19.928228,32,3,3,3.5314114,-3.5314114,0.07708399,0.088269666,15.808495,40.197308,33.825527,13.566921,81.401527,0.19573347,0.80426651,140.15913,0.44444445,0.80000001,4,0,44.049957,167.06511,36.879158,16.417963,70.572739,19.662319,143.17329,221.51997,68.431854,0.24540348,6.7813597,3.7401924,11.196194,832.76569,81.401527,77.697189,724.94397,9397,89,268,-5.95
128.38234,3,5,7,6,54,35,41,6,7,2.1648073,-2.7322106,-0.4615207,0.41856411,-0.44446942,0.38037053,2.7221699,-2.475605,-0.29537719,0.5404101,6,6,56,3,40.6012,29.877586,25.223938,19.719049,13.608256,14.742526,18,0.040837944,-0.21319209,0.12841988,12.500566,-8.5978794,9.3329468,21.267082,1.0206616,48.369259,22.3925,13,2,5.3340001,-8.6083202,21.020418,28,2,3,3.5294061,-3.5294061,0.077127792,0.088319816,15.808495,40.197308,33.825527,13.566921,81.401527,0.18087657,0.81912345,140.15913,0.3888889,0.63636363,3,0,44.049957,167.06511,18.439579,20.82876,70.572739,20.790119,143.17329,202.65158,49.992279,0.23494832,6.8073549,3.7641683,11.308724,877.815,81.401527,77.697189,755.01398,10372,92,272,-5.83
131.47592,3,5,7,6,55,36,42,6,7,2.2089617,-2.7374866,-0.4562887,0.41321313,-0.43233445,0.37385523,2.720896,-2.4800308,-0.29110774,0.53471178,6,6,57,3,41.471443,30.877586,25.651457,20.109394,13.608256,14.742526,18,0.039097201,-0.20625593,0.12701815,12.523401,-8.9969559,9.3331633,21.721497,1.0206177,49.362881,22.558893,13,2,5.5310001,-8.5023298,21.474892,28,2,3,3.6126323,-3.6126323,0.075348169,0.086282447,15.808495,40.197308,33.825527,13.566921,81.401527,0.16744576,0.83255422,134.47655,0.3888889,0.63636363,3,0,47.174271,167.06511,18.439579,20.82876,70.572739,21.25285,143.17329,202.65158,49.992279,0.23157986,6.83289,3.756861,11.36366,898.89178,81.401527,77.697189,769.04095,10735,96,278,-5.82
128.38234,3,5,7,6,54,35,41,6,7,2.1648073,-2.7322106,-0.4615207,0.41856411,-0.44446942,0.38037053,2.7221699,-2.475605,-0.29537719,0.5404101,6,6,56,3,40.6012,29.877586,25.223938,19.719049,13.608256,14.742526,18,0.040837944,-0.21319209,0.12841988,12.500566,-8.5978794,9.3329468,21.267082,1.0206616,48.369259,22.3925,13,2,5.3340001,-8.6083202,21.020418,28,2,3,3.5294061,-3.5294061,0.077127792,0.088319816,15.808495,40.197308,33.825527,13.566921,81.401527,0.18087657,0.81912345,140.15913,0.3888889,0.63636363,3,0,44.049957,167.06511,18.439579,20.82876,70.572739,20.790119,143.17329,202.65158,49.992279,0.23494832,6.8073549,3.7641683,11.308724,877.815,81.401527,77.697189,755.01398,10372,92,272,-6.54
123.58637,4,6,6,9,53,34,40,7,6,1.6986922,-2.7114723,-0.49718869,0.45510095,-0.44016227,0.52115297,2.7145095,-2.4586308,-0.33118856,0.62448668,10,6,56,3,38.982033,28.162043,25.013855,19.407743,14.191589,15.57586,18,0.046548493,-0.21900006,0.14818507,11.561097,-8.2117949,10.69818,20.80818,1,45.698978,21.671528,13,3,5.2529998,-9.73106,20.561451,32,3,4,3.3159871,-3.3159871,0.082816057,0.093986869,29.207598,40.197308,0,0,81.401527,0.16426767,0.83573234,115.49698,0.3888889,0.63636363,4,0.1509434,34.677017,183.85065,18.439579,20.399931,92.933022,20.42112,143.17329,220.29475,49.992279,0.24170427,6.8073549,3.8380089,11.245952,848.96753,81.401527,77.697189,735.97101,10325,84,270,-5.48
119.1592,3,5,6,9,52,33,39,7,6,1.4688106,-2.7066576,-0.52458686,0.50615609,-0.45862833,0.55117834,2.7272365,-2.4543281,-0.34646839,0.62632072,10,6,56,3,37.68914,26.998907,24.709326,19.104153,13.628641,15.012911,18,0.052769635,-0.22233817,0.1604728,11.57921,-7.7937336,10.698365,20.18399,1,43.128826,19.921875,13,2,4.2270002,-8.6180296,19.922482,36,4,3,3.4010725,-3.4010725,0.080744229,0.091652416,29.207598,40.197308,0,0,81.401527,0.16329224,0.83670777,109.81441,0.44444445,0.80000001,5,0.15384616,37.801331,183.85065,36.879158,15.989136,92.933022,19.75605,143.17329,239.16316,68.431854,0.24876592,6.8073549,3.8186152,11.187761,824.995,81.401527,77.697189,719.92798,9729,85,272,-6.72
123.58637,4,6,6,9,53,34,40,7,6,1.7213608,-2.7199171,-0.47580582,0.44094226,-0.42701882,0.50965887,2.7144163,-2.4675124,-0.31839165,0.60425609,10,6,56,3,38.982033,28.162043,25.178381,19.572268,14.356114,15.740384,18,0.040244151,-0.21266146,0.1387351,11.561163,-7.9267116,10.69818,20.80818,1,45.698978,21.671528,13,3,5.2529998,-8.7907104,20.59166,32,3,4,3.3159902,-3.3159902,0.082815975,0.093986779,29.207598,40.197308,0,0,81.401527,0.16426767,0.83573234,115.49698,0.3888889,0.63636363,4,0.1509434,34.677017,183.85065,18.439579,20.399931,92.933022,20.42112,143.17329,220.29475,49.992279,0.24170427,6.8073549,3.8189566,11.246307,848.96753,81.401527,77.697189,735.97101,10181,90,270,-6.39
