logP(o/w),logS,SlogP,GCUT_PEOE_1,PEOE_VSA+1,GCUT_PEOE_0,h_logD,h_logP,GCUT_SMR_1,PEOE_RPC-,PEOE_VSA+0,density,GCUT_SLOGP_1,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SMR_2,a_ICM,h_log_pbo,GCUT_SMR_2,h_logS,PEOE_VSA_FPNEG,h_ema,rsynth,BCUT_SMR_3,balabanJ,BCUT_SLOGP_0,BCUT_PEOE_1,SMR_VSA3,BCUT_SLOGP_3,PEOE_VSA_POS,BCUT_SMR_1,chi1v_C,chi1_C,GCUT_PEOE_2,GCUT_SMR_3,KierFlex,PEOE_VSA+2,a_IC,chi1v,h_emd_C,BCUT_PEOE_3,GCUT_SLOGP_2,h_emd,PEOE_RPC+,KierA2,PEOE_VSA_NEG,SMR_VSA5,BCUT_SMR_0,BCUT_SLOGP_2,PEOE_VSA+3,KierA3,KierA1,BCUT_PEOE_0,SMR_VSA1,PEOE_VSA_FPOS,GCUT_SLOGP_3,PEOE_VSA_FPPOS,SlogP_VSA9,VDistEq,vsa_pol,SlogP_VSA5,chi0v,SlogP_VSA4,PEOE_VSA_FNEG,PEOE_VSA_FHYD,SlogP_VSA8,bpol,b_rotR,weinerPath,opr_nrot,SMR,PEOE_VSA-0,Kier3,petitjean,PEOE_PC-,petitjeanSC,SMR_VSA7,GCUT_PEOE_3,lip_violation,b_1rotR,Kier2,vsa_acc,Weight,PEOE_PC+,chi1,b_single,weinerPol,PEOE_VSA_FPOL,SMR_VSA0,apol,chi0_C,h_mr,VDistMa,PEOE_VSA_PNEG,vsa_hyd,PEOE_VSA_HYD,zagreb,chi0,opr_violation,SlogP_VSA2,a_nH,TPSA,chi0v_C,mr,VAdjEq,b_count,SMR_VSA6,SlogP_VSA0,vdw_vol,diameter,h_pKb,a_count,PEOE_VSA_POL,PEOE_VSA+4,vsa_other,Q_VSA_HYD,SlogP_VSA3,b_1rotN,vdw_area,Q_VSA_POS,b_rotN,PEOE_VSA-5,Kier1,SlogP_VSA7,b_max1len,b_ar,a_aro,b_double,a_hyd,a_nO,h_pavgQ,VAdjMa,opr_brigid,h_pstates,b_heavy,PEOE_VSA_PPOS,rings,a_nN,a_heavy,SMR_VSA2,h_pstrain,lip_acc,a_donacc,a_nC,a_acc,SMR_VSA4,opr_nring,ast_violation_ext,PEOE_VSA-3,radius,ast_violation,logPapp
4.743,-8.9262896,2.5476699,-0.36753029,15.808495,-0.83912516,5.2350574,5.2347112,-0.21893343,0.095013782,370.5697,0.80096388,-0.31897238,0.45341608,-0.48684505,0.59597051,1.4881462,9.3322973,0.15122849,-7.401619,0.15909654,12.432638,0.0,3.0038259,2.0422966,-2.882278,-0.49977624,32.320816,2.7145169,533.0307,-0.33116147,13.608256,14.742526,0.046404615,3.5115564,12.441095,28.758026,165.18422,18.548018,13.612513,2.7505443,0.024780791,27.913586,0.083704077,17.464907,157.20685,202.65158,-2.4586413,0.40234792,40.197308,11.811868,36.329762,-2.7115493,28.509541,0.77224243,3.2236996,0.11256586,271.85153,3.7826133,123.38132,18.868406,31.583675,20.82876,0.2277576,0.72833759,113.21043,76.620422,0.18867925,9286.0,21.0,19.40193,33.825527,14.876033,0.3888889,-3.2801476,0.63636363,266.60812,3.2817996,3.0,0.18867925,21.922937,81.401527,712.93298,3.2801476,23.941376,101.0,80.0,0.27166238,143.17329,119.10158,26.877586,19.903839,11.138001,109.81441,489.15906,502.72598,254.0,37.990471,4.0,167.06511,60.0,186.03999,25.739758,19.655594,0.24573661,113.0,49.992279,115.43898,814.58478,18.0,14.0,111.0,187.5116,0.0,77.697189,690.23761,18.439579,10.0,690.23761,690.23761,10.0,81.401527,45.38982,70.572739,3.0,6.0,6.0,6.0,32.0,7.0,-0.003007597,6.7279205,28.0,1.0206779,53.0,77.697189,3.0,6.0,51.0,107.69694,0.001795725,13.0,13.0,38.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-5.79
3.717,-7.8132601,2.0077701,-0.38185328,15.808495,-0.84201682,4.2498112,4.249465,-0.22227845,0.092628509,325.35275,0.8100583,-0.36387005,0.50613815,-0.51666963,0.62425941,1.5097798,9.3324823,0.16490763,-6.9835553,0.15786219,12.450751,0.0,3.0334816,1.6994125,-2.8738637,-0.52512324,32.320816,2.7272413,508.11328,-0.34645662,13.045307,14.179578,0.052761275,3.5176997,10.834458,49.057533,160.03665,18.244427,14.857837,2.7789619,0.038227946,26.665581,0.081587732,15.911066,151.52428,221.51997,-2.4543409,0.46759626,40.197308,9.6827774,34.046928,-2.7067482,31.633854,0.77029163,3.2264254,0.11778769,205.19952,3.7580242,117.69875,18.868406,30.367752,16.417963,0.22970839,0.72435009,132.07884,73.567589,0.1509434,8721.0,18.0,18.73686,33.825527,12.25532,0.44444445,-3.3652329,0.80000001,199.95609,3.2868505,2.0,0.1509434,20.0704,81.401527,696.89001,3.3652329,23.636847,97.0,81.0,0.27564988,143.17329,114.67441,25.714449,19.279648,11.078074,104.13183,464.24164,477.80856,256.0,36.697578,3.0,167.06511,56.0,177.25,24.576622,19.016987,0.25318992,109.0,68.431854,97.42823,790.61218,18.0,14.0,106.0,181.82901,0.0,77.697189,659.63757,36.879158,8.0,659.63757,659.63757,8.0,81.401527,42.737629,70.572739,3.0,6.0,6.0,6.0,31.0,7.0,-0.003007597,6.7279205,32.0,1.0206779,53.0,77.697189,4.0,6.0,50.0,85.275391,0.001795725,13.0,12.0,37.0,7.0,0.0,3.0,5.0,13.566921,10.0,3.0,-7.05
4.743,-8.9262896,2.5476699,-0.36753029,15.808495,-0.83912516,5.2350574,5.2347112,-0.21893343,0.095013782,370.5697,0.80096388,-0.31897238,0.45341608,-0.48684505,0.59597051,1.4881462,9.3322973,0.15122849,-7.401619,0.15909654,12.432638,0.0,3.0038259,2.0422966,-2.882278,-0.49977624,32.320816,2.7145169,533.0307,-0.33116147,13.608256,14.742526,0.046404615,3.5115564,12.441095,28.758026,165.18422,18.548018,13.612513,2.7505443,0.024780791,27.913586,0.083704077,17.464907,157.20685,202.65158,-2.4586413,0.40234792,40.197308,11.811868,36.329762,-2.7115493,28.509541,0.77224243,3.2236996,0.11256586,271.85153,3.7826133,123.38132,18.868406,31.583675,20.82876,0.2277576,0.72833759,113.21043,76.620422,0.18867925,9286.0,21.0,19.40193,33.825527,14.876033,0.3888889,-3.2801476,0.63636363,266.60812,3.2817996,3.0,0.18867925,21.922937,81.401527,712.93298,3.2801476,23.941376,101.0,80.0,0.27166238,143.17329,119.10158,26.877586,19.903839,11.138001,109.81441,489.15906,502.72598,254.0,37.990471,4.0,167.06511,60.0,186.03999,25.739758,19.655594,0.24573661,113.0,49.992279,115.43898,814.58478,18.0,14.0,111.0,187.5116,0.0,77.697189,690.23761,18.439579,10.0,690.23761,690.23761,10.0,81.401527,45.38982,70.572739,3.0,6.0,6.0,6.0,32.0,7.0,-0.003007597,6.7279205,28.0,1.0206779,53.0,77.697189,3.0,6.0,51.0,107.69694,0.001795725,13.0,13.0,38.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-6.96
4.743,-8.9262896,2.5476699,-0.36753029,15.808495,-0.83912516,5.2350574,5.2347112,-0.21893343,0.095013782,370.5697,0.80096388,-0.31897238,0.45341608,-0.48684505,0.59597051,1.4881462,9.3322973,0.15122849,-7.401619,0.15909654,12.432638,0.0,3.0038259,2.0422966,-2.882278,-0.49977624,32.320816,2.7145169,533.0307,-0.33116147,13.608256,14.742526,0.046404615,3.5115564,12.441095,28.758026,165.18422,18.548018,13.612513,2.7505443,0.024780791,27.913586,0.083704077,17.464907,157.20685,202.65158,-2.4586413,0.40234792,40.197308,11.811868,36.329762,-2.7115493,28.509541,0.77224243,3.2236996,0.11256586,271.85153,3.7826133,123.38132,18.868406,31.583675,20.82876,0.2277576,0.72833759,113.21043,76.620422,0.18867925,9286.0,21.0,19.40193,33.825527,14.876033,0.3888889,-3.2801476,0.63636363,266.60812,3.2817996,3.0,0.18867925,21.922937,81.401527,712.93298,3.2801476,23.941376,101.0,80.0,0.27166238,143.17329,119.10158,26.877586,19.903839,11.138001,109.81441,489.15906,502.72598,254.0,37.990471,4.0,167.06511,60.0,186.03999,25.739758,19.655594,0.24573661,113.0,49.992279,115.43898,814.58478,18.0,14.0,111.0,187.5116,0.0,77.697189,690.23761,18.439579,10.0,690.23761,690.23761,10.0,81.401527,45.38982,70.572739,3.0,6.0,6.0,6.0,32.0,7.0,-0.003007597,6.7279205,28.0,1.0206779,53.0,77.697189,3.0,6.0,51.0,107.69694,0.001795725,13.0,13.0,38.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-5.46
4.743,-8.9262896,2.5476699,-0.36753029,15.808495,-0.83912516,5.2350574,5.2347112,-0.21893343,0.095013782,370.5697,0.80096388,-0.31897238,0.45341608,-0.48684505,0.59597051,1.4881462,9.3322973,0.15122849,-7.401619,0.15909654,12.432638,0.0,3.0038259,2.0422966,-2.882278,-0.49977624,32.320816,2.7145169,533.0307,-0.33116147,13.608256,14.742526,0.046404615,3.5115564,12.441095,28.758026,165.18422,18.548018,13.612513,2.7505443,0.024780791,27.913586,0.083704077,17.464907,157.20685,202.65158,-2.4586413,0.40234792,40.197308,11.811868,36.329762,-2.7115493,28.509541,0.77224243,3.2236996,0.11256586,271.85153,3.7826133,123.38132,18.868406,31.583675,20.82876,0.2277576,0.72833759,113.21043,76.620422,0.18867925,9286.0,21.0,19.40193,33.825527,14.876033,0.3888889,-3.2801476,0.63636363,266.60812,3.2817996,3.0,0.18867925,21.922937,81.401527,712.93298,3.2801476,23.941376,101.0,80.0,0.27166238,143.17329,119.10158,26.877586,19.903839,11.138001,109.81441,489.15906,502.72598,254.0,37.990471,4.0,167.06511,60.0,186.03999,25.739758,19.655594,0.24573661,113.0,49.992279,115.43898,814.58478,18.0,14.0,111.0,187.5116,0.0,77.697189,690.23761,18.439579,10.0,690.23761,690.23761,10.0,81.401527,45.38982,70.572739,3.0,6.0,6.0,6.0,32.0,7.0,-0.003007597,6.7279205,28.0,1.0206779,53.0,77.697189,3.0,6.0,51.0,107.69694,0.001795725,13.0,13.0,38.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-5.91
4.9400001,-8.8203001,2.8898699,-0.36745596,15.808495,-0.83912611,5.7766399,5.7762947,-0.21689926,0.092666239,370.5697,0.79513532,-0.31245816,0.44340777,-0.4728893,0.57713556,1.4780469,9.3325148,0.14170554,-7.8007283,0.14493866,12.455304,0.0,3.0044885,2.0831182,-2.8756375,-0.48520017,32.320816,2.7154424,566.93018,-0.32023764,13.608256,14.742526,0.045584165,3.5512736,12.670632,62.657486,168.49734,18.938362,15.103414,2.751081,0.023516564,26.900154,0.081635751,17.66799,151.52428,202.65158,-2.4673555,0.39866349,40.197308,11.548249,37.291901,-2.7220182,31.633854,0.78909689,3.2668803,0.1081449,271.85153,3.7748463,117.69875,51.765594,32.530888,20.82876,0.21090311,0.74691641,113.21043,80.126831,0.18518518,9640.0,21.0,19.86466,33.825527,14.473063,0.3888889,-3.3632445,0.63636363,299.50531,3.3217402,2.0,0.18518518,22.0741,81.401527,726.95996,3.3632445,24.368896,104.0,84.0,0.25308356,143.17329,122.19517,27.877586,20.358253,11.196231,104.13183,523.05853,536.62543,260.0,38.860714,3.0,167.06511,62.0,177.25,26.739758,20.110783,0.24202083,116.0,49.992279,97.42823,835.6615,18.0,14.0,114.0,181.82901,0.0,77.697189,718.45447,18.439579,10.0,718.45447,718.45447,10.0,81.401527,46.382717,70.572739,3.0,6.0,6.0,6.0,33.0,7.0,-0.003007504,6.7548876,28.0,1.0206773,54.0,77.697189,3.0,6.0,52.0,89.686188,0.001795669,13.0,12.0,39.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-6.11
4.9400001,-8.8203001,2.8898699,-0.36752352,15.808495,-0.83918202,5.7765503,5.7762046,-0.21767119,0.092666239,370.5697,0.79513532,-0.31240979,0.44356149,-0.4734318,0.57927448,1.4780469,9.3325148,0.14410675,-7.8006902,0.14493866,12.455299,0.0,3.0051882,2.080765,-2.8762834,-0.48761404,32.320816,2.716934,566.93018,-0.32084051,13.608256,14.742526,0.045803845,3.5522981,12.670632,62.657486,168.49734,18.938362,15.103083,2.7517164,0.023665244,26.90049,0.081635967,17.66799,151.52428,202.65158,-2.4682086,0.39744279,40.197308,11.548249,37.291901,-2.7229836,31.633854,0.78909689,3.2682331,0.1081449,271.85153,3.7802708,117.69875,51.765594,32.530888,20.82876,0.21090311,0.74691641,113.21043,80.126831,0.18518518,9650.0,21.0,19.86466,33.825527,14.473063,0.3888889,-3.3632445,0.63636363,299.50531,3.3229065,2.0,0.18518518,22.0741,81.401527,726.95996,3.3632445,24.368896,104.0,84.0,0.25308356,143.17329,122.19517,27.877586,20.358253,11.195508,104.13183,523.05853,536.62543,260.0,38.860714,3.0,167.06511,62.0,177.25,26.739758,20.110783,0.24202083,116.0,49.992279,97.42823,835.6615,18.0,14.0,114.0,181.82901,0.0,77.697189,718.45447,18.439579,10.0,718.45447,718.45447,10.0,81.401527,46.382717,70.572739,3.0,6.0,6.0,6.0,33.0,7.0,-0.003007597,6.7548876,28.0,1.0206779,54.0,77.697189,3.0,6.0,52.0,89.686188,0.001795725,13.0,12.0,39.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-6.12
4.9400001,-8.8203001,2.8898699,-0.35880631,15.808495,-0.84039122,5.7787905,5.7784615,-0.21784224,0.092676349,370.5697,0.79513532,-0.30390847,0.4415786,-0.47530657,0.58285028,1.4780469,9.3325148,0.14680316,-7.8014498,0.14493866,12.455561,0.0,3.0085404,2.0867555,-2.8792241,-0.49007797,32.320816,2.7158818,566.93018,-0.32114303,13.608256,14.742526,0.043855675,3.5506239,12.670632,62.657486,168.49734,18.938362,15.116567,2.7548184,0.02023541,26.891817,0.081529588,17.66799,151.52428,202.65158,-2.4592972,0.38937762,40.197308,11.548249,37.291901,-2.7127059,31.633854,0.78909689,3.2650619,0.1081449,271.85153,3.7744868,117.69875,51.765594,32.530888,20.82876,0.21090311,0.74691641,113.21043,80.126831,0.18518518,9630.0,21.0,19.86466,33.825527,14.473063,0.3888889,-3.3633904,0.63636363,299.50531,3.3205192,2.0,0.18518518,22.0741,81.401527,726.95996,3.3633904,24.368896,104.0,84.0,0.25308356,143.17329,122.19517,27.877586,20.358253,11.196175,104.13183,523.05853,536.62543,260.0,38.860714,3.0,167.06511,62.0,177.25,26.739758,20.110783,0.24202083,116.0,49.992279,97.42823,835.6615,18.0,14.0,114.0,181.82901,0.0,77.697189,718.45447,18.439579,10.0,718.45447,718.45447,10.0,81.401527,46.382717,70.572739,3.0,6.0,6.0,6.0,33.0,7.0,-0.003000145,6.7548876,28.0,1.0206338,54.0,77.697189,3.0,6.0,52.0,89.686188,0.001791269,13.0,12.0,39.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-5.89
5.1370001,-8.7143097,3.23207,-0.36744049,15.808495,-0.83930945,6.3165488,6.3162036,-0.21689363,0.090432346,370.5697,0.78959352,-0.31043905,0.43189821,-0.46108758,0.56275046,1.4683273,9.3327312,0.13765125,-8.1990976,0.13185085,12.477889,0.0,3.0061214,2.1221468,-2.8699033,-0.47653648,32.320816,2.7189193,600.82965,-0.30990374,13.608256,14.742526,0.042893041,3.592653,12.901175,96.556946,171.7943,19.328705,16.589384,2.7524817,0.019455239,25.893,0.079667769,17.873632,145.84171,202.65158,-2.4758353,0.38675478,40.197308,11.306778,38.25536,-2.7320607,34.758167,0.80467749,3.3121774,0.10405808,271.85153,3.7726858,112.01617,84.662781,33.478104,20.82876,0.19532248,0.76409107,113.21043,83.633247,0.18181819,10009.0,21.0,20.327391,33.825527,14.105903,0.3888889,-3.4463248,0.63636363,332.4025,3.3634553,2.0,0.18181819,22.23077,81.401527,740.987,3.4463248,24.796417,107.0,88.0,0.23590893,143.17329,125.28875,28.877586,20.812668,11.252588,98.449257,556.95801,570.5249,266.0,39.730957,3.0,167.06511,64.0,168.46001,27.739758,20.56572,0.23842676,119.0,49.992279,79.41748,856.73828,18.0,14.0,117.0,176.14644,0.0,77.697189,746.67133,18.439579,10.0,746.67133,746.67133,10.0,81.401527,47.375866,70.572739,3.0,6.0,6.0,6.0,34.0,7.0,-0.0030075,6.7813597,28.0,1.0206773,55.0,77.697189,3.0,6.0,53.0,71.675438,0.001795667,13.0,11.0,40.0,7.0,0.0,2.0,6.0,13.566921,11.0,4.0,-6.02
5.1370001,-8.7143097,3.23207,-0.35864949,15.808495,-0.84039426,6.3203149,6.3199859,-0.21551289,0.09044186,370.5697,0.78959352,-0.30360502,0.43199068,-0.45969206,0.56303149,1.4683273,9.3327322,0.1377418,-8.2005329,0.13185085,12.478225,0.0,3.0091615,2.1270418,-2.8723178,-0.47545156,32.320816,2.7166679,600.82965,-0.30974722,13.608256,14.742526,0.042950295,3.5887268,12.901175,96.556946,171.7943,19.328705,16.607298,2.755326,0.019105632,25.878603,0.07956364,17.873632,145.84171,202.65158,-2.4679489,0.38641202,40.197308,11.306778,38.25536,-2.7229962,34.758167,0.80467749,3.3064103,0.10405808,271.85153,3.7666883,112.01617,84.662781,33.478104,20.82876,0.19532248,0.76409107,113.21043,83.633247,0.18181819,9992.0,21.0,20.327391,33.825527,14.105903,0.3888889,-3.4464877,0.63636363,332.4025,3.3588836,2.0,0.18181819,22.23077,81.401527,740.987,3.4464877,24.796417,107.0,88.0,0.23590893,143.17329,125.28875,28.877586,20.812668,11.253344,98.449257,556.95801,570.5249,266.0,39.730957,3.0,167.06511,64.0,168.46001,27.739758,20.56572,0.23842676,119.0,49.992279,79.41748,856.73828,18.0,14.0,117.0,176.14644,0.0,77.697189,746.67133,18.439579,10.0,746.67133,746.67133,10.0,81.401527,47.375866,70.572739,3.0,6.0,6.0,6.0,34.0,7.0,-0.003000042,6.7813597,28.0,1.0206331,55.0,77.697189,3.0,6.0,53.0,71.675438,0.001791207,13.0,11.0,40.0,7.0,0.0,2.0,6.0,13.566921,11.0,4.0,-5.82
5.1370001,-8.7143097,3.23207,-0.35862377,15.808495,-0.84041947,6.3202791,6.3199501,-0.21588673,0.09044186,370.5697,0.78959352,-0.30353358,0.43242347,-0.46152717,0.56364185,1.4683273,9.3327322,0.13838093,-8.2005186,0.13185085,12.478223,0.0,3.0096843,2.1239085,-2.8725975,-0.47597057,32.320816,2.717972,600.82965,-0.31010997,13.608256,14.742526,0.043488272,3.58883,12.901175,96.556946,171.7943,19.328705,16.607124,2.7558115,0.019108133,25.878738,0.07956364,17.873632,145.84171,202.65158,-2.4686189,0.38646603,40.197308,11.306778,38.25536,-2.7236719,34.758167,0.80467749,3.3066728,0.10405808,271.85153,3.772558,112.01617,84.662781,33.478104,20.82876,0.19532248,0.76409107,113.21043,83.633247,0.18181819,10005.0,21.0,20.327391,33.825527,14.105903,0.3888889,-3.4464877,0.63636363,332.4025,3.3591197,2.0,0.18181819,22.23077,81.401527,740.987,3.4464877,24.796417,107.0,88.0,0.23590893,143.17329,125.28875,28.877586,20.812668,11.252579,98.449257,556.95801,570.5249,266.0,39.730957,3.0,167.06511,64.0,168.46001,27.739758,20.56572,0.23842676,119.0,49.992279,79.41748,856.73828,18.0,14.0,117.0,176.14644,0.0,77.697189,746.67133,18.439579,10.0,746.67133,746.67133,10.0,81.401527,47.375866,70.572739,3.0,6.0,6.0,6.0,34.0,7.0,-0.003000146,6.7813597,28.0,1.0206338,55.0,77.697189,3.0,6.0,53.0,71.675438,0.00179127,13.0,11.0,40.0,7.0,0.0,2.0,6.0,13.566921,11.0,4.0,-5.88
5.3340001,-8.6083202,3.57427,-0.3578617,15.808495,-0.84046239,6.8602195,6.8598905,-0.20838208,0.088313013,370.5697,0.78431785,-0.30237678,0.41852248,-0.43912184,0.54008973,1.4589664,9.3329477,0.1279964,-8.5989008,0.1197162,12.500811,0.0,3.0105252,2.1647811,-2.8658757,-0.45936254,32.320816,2.7197008,634.72913,-0.29497853,13.608256,14.742526,0.041448314,3.627713,13.132648,130.45641,175.07597,19.719049,18.093258,2.7565064,0.018272303,24.871464,0.077219523,18.081635,140.15913,202.65158,-2.4762423,0.38036171,40.197308,11.103734,39.22007,-2.7327073,37.882481,0.81912345,3.3489587,0.10026889,271.85153,3.7649143,106.3336,117.55997,34.425316,20.82876,0.18087657,0.78001493,113.21043,87.139664,0.17857143,10372.0,21.0,20.790119,33.825527,13.7904,0.3888889,-3.5295677,0.63636363,365.29968,3.3982344,2.0,0.17857143,22.3925,81.401527,755.01398,3.5295677,25.223938,110.0,92.0,0.2199851,143.17329,128.38234,29.877586,21.267082,11.308639,92.766678,590.85742,604.42438,272.0,40.6012,3.0,167.06511,66.0,159.67,28.739758,21.020418,0.23494832,122.0,49.992279,61.406727,877.815,18.0,14.0,120.0,170.46387,0.0,77.697189,774.88824,18.439579,10.0,774.88824,774.88824,10.0,81.401527,48.369259,70.572739,3.0,6.0,6.0,6.0,35.0,7.0,-0.003000036,6.8073549,28.0,1.0206331,56.0,77.697189,3.0,6.0,54.0,53.664684,0.001791204,13.0,10.0,41.0,7.0,0.0,2.0,5.0,13.566921,11.0,3.0,-6.24
