logP(o/w),logS,PEOE_VSA+1,GCUT_SMR_1,PEOE_RPC-,rsynth,BCUT_SMR_2,BCUT_SLOGP_3,GCUT_SMR_2,h_logS,h_ema,BCUT_SLOGP_1,h_log_pbo,chi1v_C,BCUT_PEOE_1,balabanJ,chi1v,GCUT_PEOE_2,SMR_VSA5,BCUT_PEOE_2,chi1_C,BCUT_SMR_0,BCUT_PEOE_0,PEOE_VSA+3,vsa_other,BCUT_SMR_1,VDistEq,PEOE_VSA_NEG,PEOE_VSA_FPOS,BCUT_SLOGP_2,PEOE_VSA_FNEG,Kier2,PEOE_RPC+,vsa_acc,PEOE_VSA-0,lip_violation,PEOE_PC-,SMR_VSA0,SlogP_VSA4,PEOE_PC+,Weight,apol,PEOE_VSA-5,weinerPath,SMR,petitjeanSC,SMR_VSA6,petitjean,SlogP_VSA2,b_double,chi1,h_mr,VDistMa,zagreb,chi0_C,weinerPol,a_nO,opr_violation,h_pstates,VAdjEq,opr_brigid,SlogP_VSA3,Kier1,mr,chi0,vdw_vol,diameter,a_hyd,SlogP_VSA7,b_max1len,SlogP_VSA1,a_acc,VAdjMa,a_nC,b_heavy,a_aro,a_heavy,b_ar,a_nN,lip_acc,rings,opr_nring,ast_violation,ast_violation_ext,PEOE_VSA-3,logPapp
4.743,-8.9262896,15.808495,-0.21893343,0.095013782,0.0,0.59597051,2.7145169,0.15122849,-7.401619,12.432638,-0.48684505,9.3322973,13.608256,-0.49977624,2.0422966,18.548018,0.046404615,202.65158,0.45341608,14.742526,-2.4586413,-2.7115493,40.197308,77.697189,-0.33116147,3.7826133,157.20685,0.77224243,0.40234792,0.2277576,21.922937,0.083704077,81.401527,33.825527,3.0,-3.2801476,143.17329,20.82876,3.2801476,712.93298,119.10158,81.401527,9286.0,19.40193,0.63636363,49.992279,0.3888889,167.06511,6.0,23.941376,19.903839,11.138001,254.0,26.877586,80.0,7.0,4.0,1.0206779,0.24573661,28.0,18.439579,45.38982,19.655594,37.990471,814.58478,18.0,32.0,70.572739,3.0,34.677017,7.0,6.7279205,38.0,53.0,6.0,51.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-5.79
3.717,-7.8132601,15.808495,-0.22227845,0.092628509,0.0,0.62425941,2.7272413,0.16490763,-6.9835553,12.450751,-0.51666963,9.3324823,13.045307,-0.52512324,1.6994125,18.244427,0.052761275,221.51997,0.50613815,14.179578,-2.4543409,-2.7067482,40.197308,77.697189,-0.34645662,3.7580242,151.52428,0.77029163,0.46759626,0.22970839,20.0704,0.081587732,81.401527,33.825527,2.0,-3.3652329,143.17329,16.417963,3.3652329,696.89001,114.67441,81.401527,8721.0,18.73686,0.80000001,68.431854,0.44444445,167.06511,6.0,23.636847,19.279648,11.078074,256.0,25.714449,81.0,7.0,3.0,1.0206779,0.25318992,32.0,36.879158,42.737629,19.016987,36.697578,790.61218,18.0,31.0,70.572739,3.0,37.801331,7.0,6.7279205,37.0,53.0,6.0,50.0,6.0,6.0,13.0,4.0,3.0,3.0,5.0,13.566921,-7.05
4.9400001,-8.8203001,15.808495,-0.21689926,0.092666239,0.0,0.57713556,2.7154424,0.14170554,-7.8007283,12.455304,-0.4728893,9.3325148,13.608256,-0.48520017,2.0831182,18.938362,0.045584165,202.65158,0.44340777,14.742526,-2.4673555,-2.7220182,40.197308,77.697189,-0.32023764,3.7748463,151.52428,0.78909689,0.39866349,0.21090311,22.0741,0.081635751,81.401527,33.825527,2.0,-3.3632445,143.17329,20.82876,3.3632445,726.95996,122.19517,81.401527,9640.0,19.86466,0.63636363,49.992279,0.3888889,167.06511,6.0,24.368896,20.358253,11.196231,260.0,27.877586,84.0,7.0,3.0,1.0206773,0.24202083,28.0,18.439579,46.382717,20.110783,38.860714,835.6615,18.0,33.0,70.572739,3.0,37.801331,7.0,6.7548876,39.0,54.0,6.0,52.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-6.11
4.9400001,-8.8203001,15.808495,-0.21767119,0.092666239,0.0,0.57927448,2.716934,0.14410675,-7.8006902,12.455299,-0.4734318,9.3325148,13.608256,-0.48761404,2.080765,18.938362,0.045803845,202.65158,0.44356149,14.742526,-2.4682086,-2.7229836,40.197308,77.697189,-0.32084051,3.7802708,151.52428,0.78909689,0.39744279,0.21090311,22.0741,0.081635967,81.401527,33.825527,2.0,-3.3632445,143.17329,20.82876,3.3632445,726.95996,122.19517,81.401527,9650.0,19.86466,0.63636363,49.992279,0.3888889,167.06511,6.0,24.368896,20.358253,11.195508,260.0,27.877586,84.0,7.0,3.0,1.0206779,0.24202083,28.0,18.439579,46.382717,20.110783,38.860714,835.6615,18.0,33.0,70.572739,3.0,37.801331,7.0,6.7548876,39.0,54.0,6.0,52.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-6.12
4.9400001,-8.8203001,15.808495,-0.21784224,0.092676349,0.0,0.58285028,2.7158818,0.14680316,-7.8014498,12.455561,-0.47530657,9.3325148,13.608256,-0.49007797,2.0867555,18.938362,0.043855675,202.65158,0.4415786,14.742526,-2.4592972,-2.7127059,40.197308,77.697189,-0.32114303,3.7744868,151.52428,0.78909689,0.38937762,0.21090311,22.0741,0.081529588,81.401527,33.825527,2.0,-3.3633904,143.17329,20.82876,3.3633904,726.95996,122.19517,81.401527,9630.0,19.86466,0.63636363,49.992279,0.3888889,167.06511,6.0,24.368896,20.358253,11.196175,260.0,27.877586,84.0,7.0,3.0,1.0206338,0.24202083,28.0,18.439579,46.382717,20.110783,38.860714,835.6615,18.0,33.0,70.572739,3.0,37.801331,7.0,6.7548876,39.0,54.0,6.0,52.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-5.89
5.1370001,-8.7143097,15.808495,-0.21689363,0.090432346,0.0,0.56275046,2.7189193,0.13765125,-8.1990976,12.477889,-0.46108758,9.3327312,13.608256,-0.47653648,2.1221468,19.328705,0.042893041,202.65158,0.43189821,14.742526,-2.4758353,-2.7320607,40.197308,77.697189,-0.30990374,3.7726858,145.84171,0.80467749,0.38675478,0.19532248,22.23077,0.079667769,81.401527,33.825527,2.0,-3.4463248,143.17329,20.82876,3.4463248,740.987,125.28875,81.401527,10009.0,20.327391,0.63636363,49.992279,0.3888889,167.06511,6.0,24.796417,20.812668,11.252588,266.0,28.877586,88.0,7.0,3.0,1.0206773,0.23842676,28.0,18.439579,47.375866,20.56572,39.730957,856.73828,18.0,34.0,70.572739,3.0,40.925644,7.0,6.7813597,40.0,55.0,6.0,53.0,6.0,6.0,13.0,3.0,2.0,4.0,6.0,13.566921,-6.02
5.1370001,-8.7143097,15.808495,-0.21551289,0.09044186,0.0,0.56303149,2.7166679,0.1377418,-8.2005329,12.478225,-0.45969206,9.3327322,13.608256,-0.47545156,2.1270418,19.328705,0.042950295,202.65158,0.43199068,14.742526,-2.4679489,-2.7229962,40.197308,77.697189,-0.30974722,3.7666883,145.84171,0.80467749,0.38641202,0.19532248,22.23077,0.07956364,81.401527,33.825527,2.0,-3.4464877,143.17329,20.82876,3.4464877,740.987,125.28875,81.401527,9992.0,20.327391,0.63636363,49.992279,0.3888889,167.06511,6.0,24.796417,20.812668,11.253344,266.0,28.877586,88.0,7.0,3.0,1.0206331,0.23842676,28.0,18.439579,47.375866,20.56572,39.730957,856.73828,18.0,34.0,70.572739,3.0,40.925644,7.0,6.7813597,40.0,55.0,6.0,53.0,6.0,6.0,13.0,3.0,2.0,4.0,6.0,13.566921,-5.82
5.1370001,-8.7143097,15.808495,-0.21588673,0.09044186,0.0,0.56364185,2.717972,0.13838093,-8.2005186,12.478223,-0.46152717,9.3327322,13.608256,-0.47597057,2.1239085,19.328705,0.043488272,202.65158,0.43242347,14.742526,-2.4686189,-2.7236719,40.197308,77.697189,-0.31010997,3.772558,145.84171,0.80467749,0.38646603,0.19532248,22.23077,0.07956364,81.401527,33.825527,2.0,-3.4464877,143.17329,20.82876,3.4464877,740.987,125.28875,81.401527,10005.0,20.327391,0.63636363,49.992279,0.3888889,167.06511,6.0,24.796417,20.812668,11.252579,266.0,28.877586,88.0,7.0,3.0,1.0206338,0.23842676,28.0,18.439579,47.375866,20.56572,39.730957,856.73828,18.0,34.0,70.572739,3.0,40.925644,7.0,6.7813597,40.0,55.0,6.0,53.0,6.0,6.0,13.0,3.0,2.0,4.0,6.0,13.566921,-5.88
5.3340001,-8.6083202,15.808495,-0.20838208,0.088313013,0.0,0.54008973,2.7197008,0.1279964,-8.5989008,12.500811,-0.43912184,9.3329477,13.608256,-0.45936254,2.1647811,19.719049,0.041448314,202.65158,0.41852248,14.742526,-2.4762423,-2.7327073,40.197308,77.697189,-0.29497853,3.7649143,140.15913,0.81912345,0.38036171,0.18087657,22.3925,0.077219523,81.401527,33.825527,2.0,-3.5295677,143.17329,20.82876,3.5295677,755.01398,128.38234,81.401527,10372.0,20.790119,0.63636363,49.992279,0.3888889,167.06511,6.0,25.223938,21.267082,11.308639,272.0,29.877586,92.0,7.0,3.0,1.0206331,0.23494832,28.0,18.439579,48.369259,21.020418,40.6012,877.815,18.0,35.0,70.572739,3.0,44.049957,7.0,6.8073549,41.0,56.0,6.0,54.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-6.24
5.1370001,-8.7143097,15.808495,-0.2155181,0.090432316,0.0,0.56363153,2.7165568,0.13711824,-8.1995106,12.477974,-0.46030846,9.3327312,13.608256,-0.47525889,2.1273618,19.328705,0.043242972,202.65158,0.43304425,14.742526,-2.4724531,-2.7284334,40.197308,77.697189,-0.31028131,3.7667177,145.84171,0.80467749,0.38707954,0.19532248,22.23077,0.079567373,81.401527,33.825527,2.0,-3.446326,143.17329,20.82876,3.446326,740.987,125.28875,81.401527,9990.0,20.327391,0.63636363,49.992279,0.3888889,167.06511,6.0,24.796417,20.812668,11.253336,266.0,28.877586,88.0,7.0,3.0,1.0206616,0.23842676,28.0,18.439579,47.375866,20.56572,39.730957,856.73828,18.0,34.0,70.572739,3.0,40.925644,7.0,6.7813597,40.0,55.0,6.0,53.0,6.0,6.0,13.0,3.0,2.0,4.0,6.0,13.566921,-5.42
4.1110001,-7.6012802,15.808495,-0.21605732,0.088269666,0.0,0.61580157,2.7280087,0.15851116,-7.7814198,12.496084,-0.48645151,9.3329163,13.045307,-0.51536518,1.7685483,19.025116,0.050025791,221.51997,0.49301279,14.179578,-2.4710639,-2.7269962,40.197308,77.697189,-0.33788794,3.7401924,140.15913,0.80426651,0.45924678,0.19573347,20.429419,0.07708399,81.401527,33.825527,2.0,-3.5314114,143.17329,16.417963,3.5314114,724.94397,120.86158,81.401527,9397.0,19.662319,0.80000001,68.431854,0.44444445,167.06511,6.0,24.491886,20.188477,11.196194,268.0,27.714449,89.0,7.0,3.0,1.0206616,0.24540348,32.0,36.879158,44.711407,19.928228,38.438065,832.76569,18.0,33.0,70.572739,3.0,44.049957,7.0,6.7813597,39.0,55.0,6.0,52.0,6.0,6.0,13.0,4.0,3.0,2.0,4.0,13.566921,-5.95
5.3340001,-8.6083202,15.808495,-0.21319209,0.088319816,0.0,0.5404101,2.7221699,0.12841988,-8.5978794,12.500566,-0.44446942,9.3329468,13.608256,-0.4615207,2.1648073,19.719049,0.040837944,202.65158,0.41856411,14.742526,-2.475605,-2.7322106,40.197308,77.697189,-0.29537719,3.7641683,140.15913,0.81912345,0.38037053,0.18087657,22.3925,0.077127792,81.401527,33.825527,2.0,-3.5294061,143.17329,20.82876,3.5294061,755.01398,128.38234,81.401527,10372.0,20.790119,0.63636363,49.992279,0.3888889,167.06511,6.0,25.223938,21.267082,11.308724,272.0,29.877586,92.0,7.0,3.0,1.0206616,0.23494832,28.0,18.439579,48.369259,21.020418,40.6012,877.815,18.0,35.0,70.572739,3.0,44.049957,7.0,6.8073549,41.0,56.0,6.0,54.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-5.73
5.5310001,-8.5023298,15.808495,-0.20625593,0.086282447,0.0,0.53471178,2.720896,0.12701815,-8.9969559,12.523401,-0.43233445,9.3331633,13.608256,-0.4562887,2.2089617,20.109394,0.039097201,202.65158,0.41321313,14.742526,-2.4800308,-2.7374866,40.197308,77.697189,-0.29110774,3.756861,134.47655,0.83255422,0.37385523,0.16744576,22.558893,0.075348169,81.401527,33.825527,2.0,-3.6126323,143.17329,20.82876,3.6126323,769.04095,131.47592,81.401527,10735.0,21.25285,0.63636363,49.992279,0.3888889,167.06511,6.0,25.651457,21.721497,11.36366,278.0,30.877586,96.0,7.0,3.0,1.0206177,0.23157986,28.0,18.439579,49.362881,21.474892,41.471443,898.89178,18.0,36.0,70.572739,3.0,47.174271,7.0,6.83289,42.0,57.0,6.0,55.0,6.0,6.0,13.0,3.0,2.0,3.0,5.0,13.566921,-5.82
5.2529998,-9.73106,29.207598,-0.21900006,0.093986869,0.1509434,0.62448668,2.7145095,0.14818507,-8.2117949,11.561097,-0.44016227,10.69818,14.191589,-0.49718869,1.6986922,19.407743,0.046548493,220.29475,0.45510095,15.57586,-2.4586308,-2.7114723,40.197308,77.697189,-0.33118856,3.8380089,115.49698,0.83573234,0.52115297,0.16426767,21.671528,0.082816057,81.401527,0.0,3.0,-3.3159871,143.17329,20.399931,3.3159871,735.97101,123.58637,81.401527,10325.0,20.42112,0.63636363,49.992279,0.3888889,183.85065,6.0,25.013855,20.80818,11.245952,270.0,28.162043,84.0,6.0,4.0,1.0,0.24170427,32.0,18.439579,45.698978,20.561451,38.982033,848.96753,18.0,34.0,92.933022,3.0,34.677017,6.0,6.8073549,40.0,56.0,9.0,53.0,10.0,7.0,13.0,4.0,3.0,4.0,6.0,0.0,-5.48
4.2270002,-8.6180296,29.207598,-0.22233817,0.091652416,0.15384616,0.62632072,2.7272365,0.1604728,-7.7937336,11.57921,-0.45862833,10.698365,13.628641,-0.52458686,1.4688106,19.104153,0.052769635,239.16316,0.50615609,15.012911,-2.4543281,-2.7066576,40.197308,77.697189,-0.34646839,3.8186152,109.81441,0.83670777,0.55117834,0.16329224,19.921875,0.080744229,81.401527,0.0,2.0,-3.4010725,143.17329,15.989136,3.4010725,719.92798,119.1592,81.401527,9729.0,19.75605,0.80000001,68.431854,0.44444445,183.85065,6.0,24.709326,20.18399,11.187761,272.0,26.998907,85.0,6.0,3.0,1.0,0.24876592,36.0,36.879158,43.128826,19.922482,37.68914,824.995,18.0,33.0,92.933022,3.0,37.801331,6.0,6.8073549,39.0,56.0,9.0,52.0,10.0,7.0,13.0,5.0,4.0,3.0,5.0,0.0,-6.72
5.2529998,-8.7907104,29.207598,-0.21266146,0.093986779,0.1509434,0.60425609,2.7144163,0.1387351,-7.9267116,11.561163,-0.42701882,10.69818,14.356114,-0.47580582,1.7213608,19.572268,0.040244151,220.29475,0.44094226,15.740384,-2.4675124,-2.7199171,40.197308,77.697189,-0.31839165,3.8189566,115.49698,0.83573234,0.50965887,0.16426767,21.671528,0.082815975,81.401527,0.0,3.0,-3.3159902,143.17329,20.399931,3.3159902,735.97101,123.58637,81.401527,10181.0,20.42112,0.63636363,49.992279,0.3888889,183.85065,6.0,25.178381,20.80818,11.246307,270.0,28.162043,90.0,6.0,4.0,1.0,0.24170427,32.0,18.439579,45.698978,20.59166,38.982033,848.96753,18.0,34.0,92.933022,3.0,34.677017,6.0,6.8073549,40.0,56.0,9.0,53.0,10.0,7.0,13.0,4.0,3.0,4.0,6.0,0.0,-6.39
2.1630001,-7.5734601,60.824585,-0.22340214,0.083735868,0.20338982,0.7390939,2.6896958,0.18626277,-8.0831337,14.824323,-0.53807992,16.827934,14.470704,-0.56993294,1.314695,20.353306,0.076899432,415.595,0.62351364,17.77599,-2.4186029,-2.6708901,41.956276,77.697189,-0.42692316,3.9468095,309.30841,0.5744167,0.67789757,0.42558333,24.333937,0.074379534,81.401527,162.50203,3.0,-3.7218213,143.17329,9.1278973,3.7218213,806.96497,127.86082,81.401527,13808.0,22.12694,0.81818181,68.431854,0.44999999,190.31929,6.0,28.498444,22.602154,11.557405,304.0,29.069975,95.0,7.0,5.0,1.0066818,0.22728641,44.0,36.879158,48.456055,22.406485,41.889965,924.02271,20.0,38.0,269.36487,5.0,34.677017,8.0,7.0,44.0,64.0,21.0,59.0,22.0,8.0,15.0,6.0,5.0,3.0,5.0,0.0,-7.1
